city,date,conditions
"Eugene, OR",2018-12-31,Partially cloudy
"Denver, CO",2018-12-15,Partially cloudy
"Los Angeles, CA",2018-01-12,Clear
"Wenatchee, WA",2018-09-30,Partially cloudy
"Valparaiso, FL",2018-10-23,"Rain, Overcast"
"Oklahoma City, OK",2018-12-07,"Rain, Overcast"
"Seattle, WA",2019-01-31,Partially cloudy
"Phoenix, AZ",2019-08-15,Clear
"Atlanta, GA",2018-05-28,"Rain, Overcast"
"Washington, DC",2019-01-05,"Rain, Partially cloudy"
"Denver, CO",2018-01-13,Partially cloudy
"Atlanta, GA",2018-06-28,"Rain, Partially cloudy"
"Raleigh/Durham, NC",2018-03-20,"Rain, Overcast"
"Aspen, CO",2018-06-13,Clear
"San Juan, PR",2019-10-14,"Rain, Partially cloudy"
"San Francisco, CA",2019-08-12,Clear
"Austin, TX",2018-04-27,Partially cloudy
"Washington, DC",2019-09-18,Partially cloudy
"Kansas City, MO",2018-08-23,"Rain, Partially cloudy"
"Portland, OR",2018-06-18,"Rain, Partially cloudy"
"Dallas/Fort Worth, TX",2019-07-21,Partially cloudy
"Atlanta, GA",2019-09-03,Clear
"Houston, TX",2018-06-21,"Rain, Overcast"
"Memphis, TN",2019-01-16,Partially cloudy
"Portland, OR",2019-08-05,Clear
"New Orleans, LA",2018-04-21,Partially cloudy
"Miami, FL",2018-06-28,"Rain, Partially cloudy"
"Los Angeles, CA",2019-06-09,Partially cloudy
"Denver, CO",2019-08-07,"Rain, Partially cloudy"
"Detroit, MI",2018-08-30,Partially cloudy
